stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1419,N1419,Hayne at Bass,HAYNE BLVD & BUFFALO RD,30.072661,-89.947413,,,,,0
1421,N1421,Hayne at Lincoln Beach,HAYNE BLVD & VINCENT RD,30.070271,-89.950465,,,,,0
1462,N1462,L C Simon at Press Dr,,30.029128,-90.045461,,,,,0
1463,N1463,L C Simon at Music,LEON C SIMON DR & LEON C SIMON BLVD,30.025958,-90.054845,,,,,0
1464,N1464,L C Simon at St Roch,LEON C SIMON DR & MUSIC ST,30.025743,-90.056566,,,,,0
1465,N1465,L C Simon at Mandeville,MANDEVILLE ST & JAY ST,30.025472,-90.058786,,,,,0
1467,N1467,L C Simon at Milneburg,MILNEBURG RD & LEON C SIMON DR,30.02481,-90.063452,,,,,0
1468,N1468,L C Simon at St Anthony,LEON C SIMON DR & ST ANTHONY ST,30.023952,-90.065782,,,,,0
1469,N1469,L C Simon at Founders,LEON C SIMON BLVD & FOUNDERS RD,30.023786,-90.068479,,,,,0
1470,N1470,L C Simon at Pratt,PRATT DR & FRANKFORT ST,30.023203,-90.071807,,,,,0
1471,N1471,L C Simon at Caldwell,CALDWELL DR & LEON C SIMON DR,30.022403,-90.073307,,,,,0
1472,N1472,R E  Lee at Paris,PARIS AVE & NEW YORK ST,30.021312,-90.07523,,,,,0
1474,N1474,R E Lee at Cartier,ROBERT E LEE BLVD & CARTIER DR,30.021085,-90.079338,,,,,0
1475,N1475,R E Lee at St Bernard,ST BERNARD AVE & NEW YORK ST,30.020947,-90.081745,,,,,0
1476,N1476,R E Lee at Cartier,CARTIER AVE & AVIATORS ST,30.020669,-90.079553,,,,,0
1478,N1478,R E Lee at Paris,PARIS AVE & ROBERT E LEE BLVD,30.020994,-90.075674,,,,,0
1479,N1479,L C Simon at Caldwell,LEON C SIMON DR & CALDWELL DR,30.021989,-90.073128,,,,,0
1480,N1480,L C Simon at Pratt,LEON C SIMON DR & PRATT DR,30.022761,-90.071897,,,,,0
1481,N1481,L C Simon at Wainwright,LEON C SIMON DR & WALDO DR,30.023339,-90.067812,,,,,0
1483,N1483,L C Simon at Curie,LEON C SIMON BLVD & LEON C SIMON DR,30.023964,-90.064417,,,,,0
