Stop ID,Stop Name,Direction,Longitude,Latitude
4655,N. Broad + D'Abadie,INBOUND,-90.07394,29.98108
4656,N. Broad + Lapeyrouse,INBOUND,-90.07541,29.97946
4657,N. Broad + Columbus,INBOUND,-90.07684,29.97786
4658,N. Broad + Esplanade,INBOUND,-90.07834,29.97618
4659,N. Broad + Ursulines,INBOUND,-90.08017,29.97408
4659,N. Broad + Ursulines,OUTBOUND,-90.08017,29.97408
4660,N. Broad + Dumaine,INBOUND,-90.08170,29.97233
4661,N. Broad + Orleans,INBOUND,-90.08285,29.97100
4662,N. Broad + Lafitte,INBOUND,-90.08431,29.96936
4663,N. Broad + Bienville,INBOUND,-90.08590,29.96751
4664,S. Broad + Banks,INBOUND,-90.08975,29.96314
4665,S. Broad + Tulane,INBOUND,-90.09077,29.96197
4666,S. Broad + Gravier,INBOUND,-90.09169,29.96086
4679,S. Broad + Erato,OUTBOUND,-90.09732,29.95322
4680,S. Broad + Overpass,OUTBOUND,-90.09497,29.95648
4681,S. Broad + Gravier,OUTBOUND,-90.09155,29.96052
4682,S. Broad + Tulane,OUTBOUND,-90.09059,29.96158
4683,S. Broad + Banks,OUTBOUND,-90.08966,29.96267
4684,N. Broad + Bienville,OUTBOUND,-90.08589,29.96702
4685,N. Broad + St Louis,OUTBOUND,-90.08440,29.96858
4686,N. Broad + Orleans,OUTBOUND,-90.08281,29.97054
4687,N. Broad + Dumaine,OUTBOUND,-90.08158,29.97198
4688,N. Broad + Ursulines,OUTBOUND,-90.08010,29.97365
4689,N. Broad + Esplanade,OUTBOUND,-90.07818,29.97586
4690,N. Broad + Columbus,OUTBOUND,-90.07668,29.97752
4691,N. Broad + Lapeyrouse,OUTBOUND,-90.07529,29.97913
4692,N. Broad + D'Abadie,OUTBOUND,-90.07386,29.98072
4694,N. Broad + Duels,OUTBOUND,-90.07023,29.98479
4695,N. Broad + A P Tureaud,OUTBOUND,-90.06805,29.98708
4696,N. Broad + Treasure,OUTBOUND,-90.06620,29.98927
4697,Allen + Humanity,OUTBOUND,-90.06566,29.99135
4700,Gentilly + Pauger,OUTBOUND,-90.06254,29.99562
4701,Gentilly + Touro,OUTBOUND,-90.06163,29.99668
4702,Gentilly + Foy,OUTBOUND,-90.06074,29.99777
4705,Gentilly + Clematis,OUTBOUND,-90.05641,30.00165
4709,Gentilly + Aster,OUTBOUND,-90.04640,30.00261
4710,Chef Highway + Iroquois,OUTBOUND,-90.04402,30.00264
4742,Chef Highway + Sherwood,OUTBOUND,-89.95180,30.02256
4745,Chef Highway + Computer Center,OUTBOUND,-89.93070,30.02992
505,S. Broad + Overpass,INBOUND,-90.09478,29.95711
5140,Chef Highway + Congress,INBOUND,-90.03161,30.00739
638,Washington + S.Broad,INBOUND,-90.10048,29.95076
638,Washington + S.Broad,OUTBOUND,-90.10048,29.95076
659,S. Broad + M L King,OUTBOUND,-90.09832,29.95163
7712,Chef Highway + Desire Drive,INBOUND,-90.03402,30.00638
7714,Chef Highway + Desire Pkwy,OUTBOUND,-90.03422,30.00595
8074,S. Broad + M L King,INBOUND,-90.09798,29.95290
8075,Chef Highway + Michoud (Nearside),INBOUND,-89.92751,30.03136
8075,Chef Highway + Michoud (Nearside),OUTBOUND,-89.92751,30.03136
8076,Chef Highway + Michoud (Out),OUTBOUND,-89.92794,30.03083
8077,Chef Highway + 14551 Chef,OUTBOUND,-89.90936,30.03720
8078,Dwyer + Willowbrook,INBOUND,-89.91946,30.03985
8290,Chef Highway + Alcee Fortier,OUTBOUND,-89.91138,30.03655
8291,Chef Highway + Read,OUTBOUND,-89.96818,30.01837
8292,Chef Highway + Downman,OUTBOUND,-90.02054,30.00972
8293,Gentilly + Elysian Fields (Nearside),OUTBOUND,-90.05948,29.99933
8294,N. Broad + St Bernard,OUTBOUND,-90.07176,29.98308
8295,S. Broad + Canal,OUTBOUND,-90.08727,29.96526
8303,Toledano + Dorgenois,INBOUND,-90.09986,29.94949
8355,Chef Highway + Gentilly Woods Mall,OUTBOUND,-90.03767,30.00463
8399,Chef Highway + Lancelot,INBOUND,-89.98457,30.01498
8622,Michoud + Chef Mentuer Highway,INBOUND,-89.92801,30.03198
8622,Michoud + Chef Mentuer Highway,OUTBOUND,-89.92801,30.03198
8632,Michoud + Dwyer,INBOUND,-89.92967,30.03665
8663,Michoud + Lourdes,INBOUND,-89.92883,30.03391
Unknown,Unknown,INBOUND,,
Unknown,Unknown,OUTBOUND,,
