Travel Time ID,Stop ID,Stop Name,Direction,Longitude,Latitude
1488,4645,Gentilly + Norman Mayer,INBOUND,-90.06149,29.99723
1489,4646,Gentilly + Pauger,INBOUND,-90.06278,29.99569
1529,4700,Gentilly + Pauger,OUTBOUND,-90.06254,29.99562
783,2163,Gentilly + St Anthony,INBOUND,-90.06380,29.99505
802,2212,Gentilly + St Anthony,OUTBOUND,-90.06389,29.99472
830,2257,Gentilly + St Roch,INBOUND,-90.05478,30.00268
874,2360,Gentilly + St Roch,OUTBOUND,-90.05515,30.00225
1530,4701,Gentilly + Touro,OUTBOUND,-90.06163,29.99668
806,2222,Gulfway Terrace Apartments,OUTBOUND,-89.90701,30.03793
,1796,I-10 Service Rd. + Windrun Apts.,INBOUND,-89.95911,30.04811
889,2383,Michoud + Carriere Court 1,OUTBOUND,-89.92750,30.02735
890,2384,Michoud + Carriere Court 2,OUTBOUND,-89.92733,30.02543
2311,8622,Michoud + Chef Mentuer Highway,INBOUND,-89.92801,30.03198
2311,8622,Michoud + Chef Mentuer Highway,OUTBOUND,-89.92801,30.03198
2321,8632,Michoud + Dwyer,INBOUND,-89.92967,30.03665
2333,8663,Michoud + Lourdes,INBOUND,-89.92883,30.03391
892,2386,Michoud + Old Gentilly,OUTBOUND,-89.92673,30.02111
891,2385,Michoud + Reserve Center,OUTBOUND,-89.92702,30.02267
1524,4695,N. Broad + A P Tureaud,OUTBOUND,-90.06805,29.98708
1491,4651,N. Broad + Agriculture,INBOUND,-90.06840,29.98724
1491,4651,N. Broad + Agriculture,OUTBOUND,-90.06840,29.98724
1502,4663,N. Broad + Bienville,INBOUND,-90.08590,29.96751
1513,4684,N. Broad + Bienville,OUTBOUND,-90.08589,29.96702
835,2276,N. Broad + Canal,INBOUND,-90.08733,29.96588
1495,4657,N. Broad + Columbus,INBOUND,-90.07684,29.97786
1520,4690,N. Broad + Columbus,OUTBOUND,-90.07668,29.97752
1493,4655,N. Broad + D'Abadie,INBOUND,-90.07394,29.98108
1522,4692,N. Broad + D'Abadie,OUTBOUND,-90.07386,29.98072
1523,4694,N. Broad + Duels,OUTBOUND,-90.07023,29.98479
1499,4660,N. Broad + Dumaine,INBOUND,-90.08170,29.97233
1516,4687,N. Broad + Dumaine,OUTBOUND,-90.08158,29.97198
1496,4658,N. Broad + Esplanade,INBOUND,-90.07834,29.97618
1518,4689,N. Broad + Esplanade,OUTBOUND,-90.07818,29.97586
1501,4662,N. Broad + Lafitte,INBOUND,-90.08431,29.96936
1494,4656,N. Broad + Lapeyrouse,INBOUND,-90.07541,29.97946
1521,4691,N. Broad + Lapeyrouse,OUTBOUND,-90.07529,29.97913
1500,4661,N. Broad + Orleans,INBOUND,-90.08285,29.97100
1515,4686,N. Broad + Orleans,OUTBOUND,-90.08281,29.97054
1492,4652,N. Broad + Republic,INBOUND,-90.07033,29.98510
868,2351,N. Broad + St Bernard,INBOUND,-90.07170,29.98363
2042,8294,N. Broad + St Bernard,OUTBOUND,-90.07176,29.98308
1514,4685,N. Broad + St Louis,OUTBOUND,-90.08440,29.96858
1525,4696,N. Broad + Treasure,OUTBOUND,-90.06620,29.98927
1497,4659,N. Broad + Ursulines,INBOUND,-90.08017,29.97408
1517,4659,N. Broad + Ursulines,OUTBOUND,-90.08017,29.97408
1517,4688,N. Broad + Ursulines,OUTBOUND,-90.08010,29.97365
894,2388,NASA,OUTBOUND,-89.91897,30.02521
834,2262,New Orleans + Benefit,INBOUND,-90.06687,29.99041
833,2261,New Orleans + Pleasure,INBOUND,-90.06703,29.99244
893,2387,Old Gentilly + Agriculture Building,OUTBOUND,-89.92084,30.02387
816,2236,Opposite Maison Orleans Two,INBOUND,-89.92453,30.03234
816,2236,Opposite Maison Orleans Two,OUTBOUND,-89.92453,30.03234
815,2235,Orleans East Apartments,INBOUND,-89.92306,30.03281
815,2235,Orleans East Apartments,OUTBOUND,-89.92306,30.03281
1503,4664,S. Broad + Banks,INBOUND,-90.08975,29.96314
1512,4683,S. Broad + Banks,OUTBOUND,-90.08966,29.96267
2043,8295,S. Broad + Canal,OUTBOUND,-90.08727,29.96526
837,2280,S. Broad + Erato,INBOUND,-90.09750,29.95356
1507,4679,S. Broad + Erato,OUTBOUND,-90.09732,29.95322
1505,4666,S. Broad + Gravier,INBOUND,-90.09169,29.96086
1510,4681,S. Broad + Gravier,OUTBOUND,-90.09155,29.96052
1952,8074,S. Broad + M L King,INBOUND,-90.09798,29.95290
1763,659,S. Broad + M L King,OUTBOUND,-90.09832,29.95163
1509,4680,S. Broad + Overpass,OUTBOUND,-90.09497,29.95648
1563,505,S. Broad + Overpass,INBOUND,-90.09478,29.95711
1511,4682,S. Broad + Tulane,OUTBOUND,-90.09059,29.96158
1504,4665,S. Broad + Tulane,INBOUND,-90.09077,29.96197
838,2282,S. Broad + Washington,INBOUND,-90.10057,29.95109
2051,8303,Toledano + Dorgenois,INBOUND,-90.09986,29.94949
,Unknown,Unknown,OUTBOUND,,
,Unknown,Unknown,INBOUND,,
1741,638,Washington + S.Broad,INBOUND,-90.10048,29.95076
1741,638,Washington + S.Broad,OUTBOUND,-90.10048,29.95076
